ID,MaterialType
31654,SOUNDDISC
31655,BOOK
31656,SOUNDDISC
31657,BOOK
31658,VIDEOCASS
31659,VIDEOCASS
31660,BOOK
31661,BOOK
31662,BOOK
31663,BOOK
31664,BOOK
31665,BOOK
31666,BOOK
31667,BOOK
31668,BOOK
31669,BOOK
31670,BOOK
31671,BOOK
31672,SOUNDDISC
31673,BOOK
31674,BOOK
31675,SOUNDDISC
31676,BOOK
31677,BOOK
31678,BOOK
31679,SOUNDDISC
31680,BOOK
31681,MIXED
31682,BOOK
31683,SOUNDDISC
31684,BOOK
31685,BOOK
31686,BOOK
31687,VIDEOCASS
31688,BOOK
31689,SOUNDCASS
31690,SOUNDDISC
31691,BOOK
31692,BOOK
31693,BOOK
31694,BOOK
31695,SOUNDDISC
31696,BOOK
31697,SOUNDDISC
31698,BOOK
31699,SOUNDDISC
31700,BOOK
31701,BOOK
31702,BOOK
31703,BOOK
31704,BOOK
31705,BOOK
31706,VIDEOCASS
31707,BOOK
31708,VIDEODISC
31709,BOOK
31710,BOOK
31711,BOOK
31712,BOOK
31713,SOUNDDISC
31714,BOOK
31715,BOOK
31716,SOUNDDISC
31717,VIDEODISC
31718,BOOK
31719,SOUNDDISC
31720,BOOK
31721,BOOK
31722,VIDEODISC
31723,VIDEOCASS
31724,BOOK
31725,BOOK
31726,BOOK
31727,VIDEOCASS
31728,BOOK
31729,BOOK
31730,BOOK
31731,BOOK
31732,BOOK
31733,BOOK
31734,BOOK
31735,BOOK
31736,BOOK
31737,SOUNDDISC
31738,BOOK
31739,SOUNDDISC
31740,SOUNDDISC
31741,BOOK
31742,MUSIC
31743,BOOK
31744,SOUNDDISC
31745,SOUNDDISC
31746,BOOK
31747,BOOK
31748,SOUNDDISC
31749,BOOK
31750,BOOK
31751,SOUNDDISC
31752,VIDEOCASS
31753,SOUNDCASS
31754,SOUNDDISC
31755,BOOK
31756,VIDEOCASS
31757,SOUNDDISC
31758,BOOK
31759,BOOK
31760,BOOK
31761,BOOK
31762,BOOK
31763,BOOK
31764,BOOK
31765,SOUNDDISC
31766,BOOK
31767,BOOK
31768,SOUNDDISC
31769,SOUNDDISC
31770,BOOK
31771,CR
31772,SOUNDCASS
31773,SOUNDDISC
31774,BOOK
31775,BOOK
31776,SOUNDDISC
31777,SOUNDDISC
31778,VIDEODISC
31779,BOOK
31780,BOOK
31781,VIDEOCASS
31782,BOOK
31783,BOOK
31784,BOOK
31785,SOUNDDISC
31786,BOOK
31787,SOUNDDISC
31788,SOUNDCASS
31789,BOOK
31790,SOUNDDISC
31791,SOUNDDISC
31792,BOOK
31793,BOOK
31794,BOOK
31795,BOOK
31796,BOOK
31797,BOOK
31798,VIDEOCASS
31799,BOOK
31800,BOOK
31801,SOUNDDISC
31802,BOOK
31803,BOOK
31804,BOOK
31805,SOUNDDISC
31806,BOOK
31807,BOOK
31808,BOOK
31809,SOUNDDISC
31810,SOUNDDISC
31811,BOOK
31812,BOOK
31813,VIDEODISC
31814,SOUNDDISC
31815,SOUNDDISC
31816,SOUNDDISC
31817,VIDEOCASS
31818,BOOK
31819,SOUNDCASS
31820,BOOK
31821,BOOK
31822,SOUNDDISC
31823,BOOK
31824,BOOK
31825,BOOK
31826,BOOK
31827,SOUNDDISC
31828,SOUNDCASS
31829,BOOK
31830,BOOK
31831,BOOK
31832,BOOK
31833,VIDEOCASS
31834,BOOK
31835,BOOK
31836,VIDEOCASS
31837,BOOK
31838,BOOK
31839,VIDEOCASS
31840,SOUNDDISC
31841,VIDEOCASS
31842,BOOK
31843,VIDEODISC
31844,BOOK
31845,BOOK
31846,SOUNDDISC
31847,BOOK
31848,BOOK
31849,SOUNDDISC
31850,SOUNDDISC
31851,SOUNDCASS
31852,SOUNDDISC
31853,BOOK
31854,BOOK
31855,BOOK
31856,BOOK
31857,BOOK
31858,BOOK
31859,BOOK
31860,SOUNDDISC
31861,BOOK
31862,BOOK
31863,VIDEOCASS
31864,BOOK
31865,VIDEODISC
31866,BOOK
31867,BOOK
31868,BOOK
31869,BOOK
31870,BOOK
31871,BOOK
31872,BOOK
31873,SOUNDCASS
31874,SOUNDDISC
31875,BOOK
31876,BOOK
31877,VIDEODISC
31878,VIDEOCASS
31879,VIDEODISC
31880,VIDEOCASS
31881,SOUNDCASS
31882,SOUNDCASS
31883,BOOK
31884,BOOK
31885,MIXED
31886,BOOK
31887,BOOK
31888,VIDEOCASS
31889,BOOK
31890,SOUNDDISC
31891,BOOK
31892,SOUNDDISC
31893,BOOK
31894,BOOK
31895,BOOK
31896,BOOK
31897,BOOK
31898,SOUNDDISC
31899,SOUNDDISC
31900,BOOK
31901,BOOK
31902,BOOK
31903,BOOK
31904,SOUNDDISC
31905,VIDEODISC
31906,SOUNDDISC
31907,SOUNDDISC
31908,SOUNDDISC
31909,SOUNDDISC
31910,BOOK
31911,SOUNDDISC
31912,VIDEOCASS
31913,SOUNDDISC
31914,BOOK
31915,SOUNDDISC
31916,SOUNDDISC
31917,BOOK
31918,BOOK
31919,BOOK
31920,SOUNDDISC
31921,BOOK
31922,BOOK
31923,BOOK
31924,BOOK
31925,SOUNDDISC
31926,BOOK
31927,SOUNDDISC
31928,BOOK
31929,BOOK
31930,SOUNDDISC
31931,SOUNDCASS
31932,SOUNDDISC
31933,SOUNDDISC
31934,MIXED
31935,BOOK
31936,MIXED
31937,BOOK
31938,BOOK
31939,SOUNDDISC
31940,BOOK
31941,VIDEODISC
31942,BOOK
31943,SOUNDDISC
31944,VIDEODISC
31945,BOOK
31946,BOOK
31947,BOOK
31948,SOUNDDISC
31949,MIXED
31950,SOUNDDISC
31951,BOOK
31952,BOOK
31953,SOUNDDISC
31954,BOOK
31955,SOUNDDISC
31956,MIXED
31957,BOOK
31958,SOUNDDISC
31959,BOOK
31960,BOOK
31961,BOOK
31962,BOOK
31963,BOOK
31964,BOOK
31965,VIDEODISC
31966,SOUNDDISC
31967,SOUNDDISC
31968,SOUNDDISC
31969,BOOK
31970,VIDEOCASS
31971,SOUNDCASS
31972,SOUNDDISC
31973,BOOK
31974,SOUNDDISC
31975,BOOK
31976,VIDEODISC
31977,BOOK
31978,BOOK
31979,BOOK
31980,BOOK
31981,VIDEODISC
31982,BOOK
31983,BOOK
31984,VIDEOCASS
31985,BOOK
31986,BOOK
31987,SOUNDDISC
31988,BOOK
31989,BOOK
31990,BOOK
31991,BOOK
31992,BOOK
31993,BOOK
31994,BOOK
31995,BOOK
31996,SOUNDDISC
31997,BOOK
31998,SOUNDDISC
31999,BOOK
32000,BOOK
32001,SOUNDDISC
32002,BOOK
32003,BOOK
32004,BOOK
32005,SOUNDDISC
32006,BOOK
32007,SOUNDCASS
32008,VIDEOCASS
32009,SOUNDDISC
32010,BOOK
32011,SOUNDDISC
32012,SOUNDDISC
32013,BOOK
32014,BOOK
32015,BOOK
32016,SOUNDDISC
32017,BOOK
32018,BOOK
32019,BOOK
32020,SOUNDDISC
32021,BOOK
32022,VIDEOCASS
32023,BOOK
32024,VIDEODISC
32025,SOUNDDISC
32026,MUSIC
32027,SOUNDDISC
32028,BOOK
32029,BOOK
32030,VIDEODISC
32031,BOOK
32032,BOOK
32033,SOUNDDISC
32034,BOOK
32035,BOOK
32036,SOUNDDISC
32037,BOOK
32038,MIXED
32039,BOOK
32040,SOUNDDISC
32041,SOUNDDISC
32042,BOOK
32043,SOUNDDISC
32044,BOOK
32045,BOOK
32046,BOOK
32047,BOOK
32048,VIDEOCASS
32049,VIDEOCASS
32050,BOOK
32051,BOOK
32052,BOOK
32053,BOOK
32054,BOOK
32055,SOUNDDISC
32056,BOOK
32057,BOOK
32058,SOUNDDISC
32059,BOOK
32060,BOOK
32061,BOOK
32062,VIDEODISC
32063,BOOK
32064,SOUNDDISC
32065,SOUNDDISC
32066,BOOK
32067,BOOK
32068,BOOK
32069,BOOK
32070,SOUNDDISC
32071,BOOK
32072,BOOK
32073,SOUNDDISC
32074,SOUNDDISC
32075,SOUNDDISC
32076,BOOK
32077,BOOK
32078,BOOK
32079,BOOK
32080,BOOK
32081,BOOK
32082,SOUNDDISC
32083,BOOK
32084,BOOK
32085,BOOK
32086,VIDEOCASS
32087,VIDEOCASS
32088,VIDEOCASS
32089,SOUNDCASS
32090,SOUNDDISC
32091,BOOK
32092,SOUNDDISC
32093,VIDEOCASS
32094,BOOK
32095,BOOK
32096,SOUNDDISC
32097,BOOK
32098,VIDEODISC
32099,BOOK
32100,SOUNDDISC
32101,BOOK
32102,VIDEOCASS
32103,SOUNDDISC
32104,SOUNDDISC
32105,BOOK
32106,VIDEOCASS
32107,BOOK
32108,SOUNDDISC
32109,SOUNDDISC
32110,SOUNDDISC
32111,VIDEOCASS
32112,BOOK
32113,BOOK
32114,BOOK
32115,BOOK
32116,BOOK
32117,BOOK
32118,BOOK
32119,BOOK
32120,SOUNDDISC
32121,BOOK
32122,BOOK
32123,BOOK
32124,BOOK
32125,BOOK
32126,SOUNDDISC
32127,BOOK
32128,BOOK
32129,SOUNDCASS
32130,BOOK
32131,BOOK
32132,BOOK
32133,BOOK
32134,VIDEOCASS
32135,BOOK
32136,SOUNDDISC
32137,SOUNDDISC
32138,BOOK
32139,BOOK
